"Title","Redirect URL","File Size","Type","Created","Contract Number","Contract Order","Document Summary"
"DIR-TSO-2539 Appendix E9 Sample Order for Technical Cloud Services Amendment 1","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR-TSO-2539 Appendix E9 Sample Order for Technical Cloud Services Amendment 1.pdf","223342","pdf","3/5/2015 2:23:26 PM","DIR-TSO-2539","0.059","DIR-TSO-2539 Appendix E-9 Sample Order for Technical Cloud Services Amendment 1"
"DIR-TSO-2539 Appendix I Schedule S Services Public Sector Amendment 1","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR-TSO-2539 Appendix I Schedule S Services Public Sector Amendment 1.pdf","207826","pdf","3/5/2015 2:35:10 PM","DIR-TSO-2539","0.09","DIR-TSO-2539 Appendix I Schedule S Services Public Sector Amendment 1"
"DIR-TSO-2539 Appendix L Schedule M Cloud Managed Services Amendment 1","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR-TSO-2539 Appendix L Schedule M Cloud Managed Services Amendment 1.pdf","323941","pdf","3/5/2015 2:50:35 PM","DIR-TSO-2539","0.3","DIR-TSO-2539 Appendix L Schedule M Cloud Managed Services Amendment 1"
"DIR-TSO-2539 Appendix M Schedule C Cloud Services Amendment 1","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR-TSO-2539 Appendix M Schedule C Cloud Services Amendment 1.pdf","375383","pdf","3/5/2015 2:57:49 PM","DIR-TSO-2539","0.4","DIR-TSO-2539 Appendix M  Schedule C Cloud Services Amendment 1"
"DIR-TSO-2539 Appendix N Data Processing Agreement Cloud (per Amendment 1)","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR-TSO-2539 Appendix N Data Processing Agreement Cloud (per Amendment 1).pdf","404714","pdf","3/5/2015 3:02:32 PM","DIR-TSO-2539","0.5","DIR-TSO-2539 Appendix N Data Processing Agreement Cloud Amendment 1"
"DIR-TSO-2539 Amendment 1","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR-TSO-2539 Amendment 1.pdf","189915","pdf","3/5/2015 3:19:13 PM","DIR-TSO-2539","1","DIR-TSO-2539 Oracle Amendment 1"
"DIR-TSO-2539 Contract","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR-TSO-2539 Contract.pdf","404688","pdf","3/10/2015 8:30:29 AM","DIR-TSO-2539","0","DIR-TSO-2539 Oracle Contract"
"Contract DIR-TSO-2735","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/Contract DIR-TSO-2735.pdf","201329","pdf","3/10/2015 11:59:04 AM","DIR-TSO-2735","1","Contract document"
"DIR-DCS-SCP-MSA-003-Appendix 1-Attachment 3-A-Service Levels Matrix to Amend 5","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR-DCS-SCP-MSA-003-Appendix 1-Attachment 3-A-Service Levels Matrix to Amend 5.pdf","108063","pdf","3/10/2015 9:56:37 PM","DIR-DCS-SCP-MSA-003","155","DIR-DCS-SCP-MSA-003-Appendix 1-Attachment 3-A-Service Levels Matrix to Amend 5"
"DIR-DCS-SCP-MSA-003-Appendix 2-Attachment 3-B-SLA Definitions Tools Methodologies to Amend 5","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR-DCS-SCP-MSA-003-Appendix 2-Attachment 3-B-SLA Definitions Tools Methodologies to Amend 5.pdf","281945","pdf","3/10/2015 9:59:32 PM","DIR-DCS-SCP-MSA-003","156","DIR-DCS-SCP-MSA-003-Appendix 2-Attachment 3-B-SLA Definitions Tools Methodologies to Amend 5"
"DIR-TSO-2689 Contract","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR-TSO-2689 Contract.pdf","171844","pdf","3/12/2015 8:33:07 AM","DIR-TSO-2689","0","DIR-TSO-2689 NEC Contract"
"DIR-TSO-2689 Appendix A Standard Terms and Conditions","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR-TSO-2689 Appendix A Standard Terms and Conditions.pdf","492534","pdf","3/12/2015 8:36:38 AM","DIR-TSO-2689","0.01","DIR-TSO-2689 Appendix A"
"DIR-TSO-2689 Appendix B HUB Subcontracting Plan","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR-TSO-2689 Appendix B HUB Subcontracting Plan.pdf","1054273","pdf","3/12/2015 8:38:32 AM","DIR-TSO-2689","0.02","DIR-TSO-2689 Appendix B"
"DIR-TSO-2689 Appendix D Purchase Agreement","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR-TSO-2689 Appendix D Purchase Agreement.pdf","252681","pdf","3/12/2015 8:41:04 AM","DIR-TSO-2689","0.04","DIR-TSO-2689 Appendix D"
"DIR-TSO-2689 Appendix E Support Services Agreement","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR-TSO-2689 Appendix E Support Services Agreement.pdf","306263","pdf","3/12/2015 8:41:57 AM","DIR-TSO-2689","0.05","DIR-TSO-2689 Appendix E"
"DIR-TSO-2689 Appendix F Statement of Work Template","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR-TSO-2689 Appendix F Statement of Work Template.pdf","465804","pdf","3/12/2015 8:42:42 AM","DIR-TSO-2689","0.06","DIR-TSO-2689 Appendix F"
"DIR-TSO-IC677 City of Ames Contract","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR-TSO-IC677 City of Ames Contract.pdf","158012","pdf","3/12/2015 10:29:35 AM","DIR-TSO-IC677","1","DIR-TSO-IC677 City of Ames Contract"
"DIR-DCS-SCP-MSA-003-Appendix 2-Exhibit 4-Pricing and Financial Provisions to Amend 8","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR-DCS-SCP-MSA-003-Appendix 2-Exhibit 4-Pricing and Financial Provisions to Amend 8.pdf","425486","pdf","3/12/2015 2:34:23 PM","DIR-DCS-SCP-MSA-003","174","DIR-DCS-SCP-MSA-003-Exhibit 4-Pricing and Financial Provisions to Amend 8"
"DIR-TSO-2707 Contract","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR-TSO-2707 Contract.pdf","293262","pdf","3/16/2015 1:06:07 PM","DIR-TSO-2707","0","DIR-TSO-2707 Contract"
"DIR-TSO-2707 Appendix A Standard Terms and Conditions","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR-TSO-2707 Appendix A Standard Terms and Conditions.pdf","492195","pdf","3/16/2015 1:06:49 PM","DIR-TSO-2707","0.01","DIR-TSO-2707 Appendix A"
"DIR-TSO-2707 Appendix B HUB Subcontracting Plan","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR-TSO-2707 Appendix B HUB Subcontracting Plan.pdf","910295","pdf","3/16/2015 1:07:16 PM","DIR-TSO-2707","0.02","DIR-TSO-2707 Appendix B"
"DIR-TSO-2707 Appendix C Pricing Index","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR-TSO-2707 Appendix C Pricing Index.pdf","7549","pdf","3/16/2015 1:07:52 PM","DIR-TSO-2707","0.03","DIR-TSO-2707 Appendix C"
"DIR-TSO-2585 Contract","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR-TSO-2585 Contract.pdf","172936","pdf","3/18/2015 12:59:56 PM","DIR-TSO-2585","0","DIR-TSO-2585 Contract"
"DIR-TSO-IC679 Florence County SC Contract","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR-TSO-IC679 Florence County SC Contract.pdf","135127","pdf","3/18/2015 1:22:06 PM","DIR-TSO-IC679","1","DIR-TSO-IC679 Florence County SC Contract"
"DIR-TSO-2837 Contract","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR-TSO-2837 Contract.pdf","186656","pdf","3/19/2015 9:33:47 AM","DIR-TSO-2837","0","DIR-TSO-2837 Contract"
"DIR-TSO-2673 Contract","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR-TSO-2673 Contract.pdf","162560","pdf","3/20/2015 7:55:22 AM","DIR-TSO-2673","0","DIR-TSO-2673"
"DIR-TSO-2673 Appendix A Standard Terms and Conditions","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR-TSO-2673 Appendix A Standard Terms and Conditions.pdf","492640","pdf","3/20/2015 7:57:05 AM","DIR-TSO-2673","0.01","DIR-TSO-2673 Appendix A Standard Terms and Conditions"
"DIR-TSO-2673 Appendix B HUB Subcontracting Plan","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR-TSO-2673 Appendix B HUB Subcontracting Plan.pdf","1014339","pdf","3/20/2015 7:59:57 AM","DIR-TSO-2673","0.02","DIR-TSO-2673 Appendix B HUB Subcontracting Plan"
"DIR-TSO-2673 Appendix C Pricing Index","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR-TSO-2673 Appendix C Pricing Index.pdf","22470","pdf","3/20/2015 8:01:13 AM","DIR-TSO-2673","0.03","DIR-TSO-2673 Appendix C Pricing Index"
"DIR-TSO-2668 Contract","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR-TSO-2668 Contract.pdf","187846","pdf","3/20/2015 8:16:14 AM","DIR-TSO-2668","0","DIR-TSO-2668 Contract"
"DIR-TSO-2612 RFO DIR-SDD-TMP-201","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR-TSO-2612 RFO DIR-SDD-TMP-201.zip","2463067","zip","3/24/2015 4:13:13 PM","DIR-TSO-2612","9","Technology based conferencing services RFO"
"DIR-TSO-2610 RFO DIR-SDD-TMP-201","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR-TSO-2610 RFO DIR-SDD-TMP-201.zip","2463067","zip","3/25/2015 8:39:45 AM","DIR-TSO-2610","60","DIR-TSO-2610 RFO DIR-SDD-TMP-201"
"DIR-TSO-2552 RFO DIR-SDD-TMP-201","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/DIR-TSO-2552 RFO DIR-SDD-TMP-201.zip","2463067","zip","3/25/2015 9:02:52 AM","DIR-TSO-2552","6","DIR-TSO-2552 RFO DIR-SDD-TMP-201"
"Prince George&#39;s Community College, Maryland, DIR-SDD-IC370","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/Prince George's Community College, Maryland, DIR-SDD-IC370.pdf","140556","pdf","4/2/2015 10:01:23 AM","DIR-SDD-IC370","1","DIR-SDD-IC370, Prince George's Community College, Maryland
"
"City of Farmington, New Mexico, DIR-TSO-IC669","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/City of Farmington, New Mexico, DIR-TSO-IC669.pdf","141484","pdf","4/2/2015 12:47:49 PM","DIR-TSO-IC669","0","City of Farmington, New Mexico, DIR-TSO-IC669"
"Town of Bethlehem, New York, DIR-TSO-IC676","https://pubext.dir.texas.gov/portal/internal/contracts-and-services/Contracts/Town of Bethlehem, New York, DIR-TSO-IC676.pdf","205670","pdf","4/2/2015 1:42:02 PM","DIR-TSO-IC676","1","Town of Bethlehem, New York, DIR-TSO-IC676"
